
 Packet Statistics:
  - Total Packets: 328623
  - Total Data Transferred: 324313533 bytes
  - Min Packet Size: 42 bytes
  - Max Packet Size: 1514 bytes
  - Avg Packet Size: 986.886 bytes

[Unique Source-Destination IP:Port Pairs]
  - 10.7.11.235:61877 -> 142.250.192.100:443
  - 10.7.11.235:51854 -> 142.250.206.138:443
  - 142.250.199.174:443 -> 10.7.11.235:65103
  - 10.7.11.235:61103 -> 142.251.42.99:443
  - 10.0.136.7:53 -> 10.7.11.235:61102
  - 10.0.136.7:53 -> 10.7.11.235:61101
  - 142.251.42.99:443 -> 10.7.11.235:64139
  - 10.7.11.235:61096 -> 10.0.136.7:53
  - 10.7.11.235:61095 -> 10.0.136.7:53
  - 142.250.192.22:443 -> 10.7.11.235:61094
  - 10.0.136.7:53 -> 10.7.11.235:61093
  - 10.7.11.235:61093 -> 10.0.136.7:53
  - 10.7.11.235:53135 -> 10.0.136.7:53
  - 108.159.80.60:443 -> 10.7.11.235:61092
  - 10.0.136.7:53 -> 10.7.11.235:55096
  - 10.0.136.7:53 -> 10.7.11.235:50693
  - 142.250.183.206:443 -> 10.7.11.235:61091
  - 10.7.11.235:61091 -> 142.250.183.206:443
  - 10.0.136.7:53 -> 10.7.11.235:61089
  - 18.161.111.99:443 -> 10.7.11.235:61085
  - 10.7.11.235:61085 -> 18.161.111.99:443
  - 0.0.0.0:24587 -> 172.24.136.73:35712
  - 10.7.11.235:61084 -> 15.235.42.78:443
  - 10.7.11.235:61082 -> 10.0.136.7:53
  - 23.49.60.209:443 -> 10.7.11.235:61081
  - 23.49.60.209:443 -> 10.7.11.235:61080
  - 10.7.11.235:61080 -> 23.49.60.209:443
  - 10.0.136.7:53 -> 10.7.11.235:61079
  - 10.0.136.7:53 -> 10.7.11.235:61078
  - 10.7.11.235:61079 -> 10.0.136.7:53
  - 104.26.8.107:443 -> 10.7.11.235:49515
  - 10.7.11.235:49515 -> 104.26.8.107:443
  - 142.250.192.131:443 -> 10.7.11.235:61116
  - 10.0.136.7:53 -> 10.7.11.235:61077
  - 10.0.136.7:53 -> 10.7.11.235:61076
  - 10.7.11.235:61076 -> 10.0.136.7:53
  - 10.7.11.235:61075 -> 142.250.66.3:443
  - 142.250.66.3:443 -> 10.7.11.235:55551
  - 10.0.136.7:53 -> 10.7.11.235:61074
  - 10.7.11.235:61073 -> 10.0.136.7:53
  - 199.232.56.159:443 -> 10.7.11.235:61072
  - 199.232.56.159:443 -> 10.7.11.235:61071
  - 10.7.11.235:61070 -> 199.232.56.159:443
  - 104.244.42.65:443 -> 10.7.11.235:61067
  - 10.7.11.235:61066 -> 34.149.43.113:443
  - 10.0.136.7:53 -> 10.7.11.235:61065
  - 10.0.136.7:53 -> 10.7.11.235:61064
  - 20.190.144.138:443 -> 10.7.11.235:61218
  - 18.161.111.99:443 -> 10.7.11.235:61063
  - 10.0.136.7:53 -> 10.7.11.235:61139
  - 10.7.11.235:61063 -> 18.161.111.99:443
  - 10.0.136.7:53 -> 10.7.11.235:60099
  - 10.7.11.235:56305 -> 10.0.136.7:53
  - 10.7.11.235:61062 -> 18.204.106.12:443
  - 108.159.61.18:443 -> 10.7.11.235:61061
  - 52.42.158.94:443 -> 10.7.11.235:61060
  - 10.0.136.7:53 -> 10.7.11.235:49571
  - 23.49.60.209:443 -> 10.7.11.235:61059
  - 10.7.11.235:61059 -> 23.49.60.209:443
  - 10.7.11.235:61057 -> 10.0.136.7:53
  - 10.0.136.7:53 -> 10.7.11.235:61054
  - 151.101.193.229:443 -> 10.7.11.235:65417
  - 142.250.192.66:443 -> 10.7.11.235:50685
  - 10.7.11.235:65417 -> 151.101.193.229:443
  - 10.7.11.235:61727 -> 142.250.70.98:443
  - 10.0.136.7:53 -> 10.7.11.235:61182
  - 10.7.11.235:50685 -> 142.250.192.66:443
  - 10.0.136.7:53 -> 10.7.11.235:61052
  - 10.7.11.235:61053 -> 10.0.136.7:53
  - 10.0.136.7:53 -> 10.7.11.235:61050
  - 10.0.136.7:53 -> 10.7.11.235:61051
  - 10.7.11.235:61051 -> 10.0.136.7:53
  - 10.7.11.235:61050 -> 10.0.136.7:53
  - 10.7.11.235:61067 -> 104.244.42.65:443
  - 10.0.136.7:53 -> 10.7.11.235:61049
  - 10.7.11.235:61048 -> 10.0.136.7:53
  - 142.250.193.42:443 -> 10.7.11.235:56180
  - 173.194.68.94:443 -> 10.7.11.235:51417
  - 10.7.11.235:61046 -> 173.194.68.94:443
  - 10.0.136.7:53 -> 10.7.11.235:61044
  - 10.7.11.235:61042 -> 10.0.136.7:53
  - 10.7.11.235:54854 -> 173.194.52.169:443
  - 10.7.11.235:64169 -> 142.250.193.194:443
  - 10.0.136.7:53 -> 10.7.11.235:61040
  - 10.7.11.235:61040 -> 10.0.136.7:53
  - 10.0.136.7:53 -> 10.7.11.235:61037
  - 10.7.11.235:61038 -> 10.0.136.7:53
  - 104.244.42.65:443 -> 10.7.11.235:61035
  - 10.7.11.235:61178 -> 142.250.71.106:443
  - 10.7.11.235:61035 -> 104.244.42.65:443
  - 10.0.136.7:53 -> 10.7.11.235:61031
  - 10.7.11.235:61032 -> 10.0.136.7:53
  - 104.244.42.194:443 -> 10.7.11.235:59504
  - 10.7.11.235:61168 -> 151.101.66.137:443
  - 54.192.142.4:443 -> 10.7.11.235:61029
  - 10.0.136.7:53 -> 10.7.11.235:61026
  - 10.7.11.235:61025 -> 10.0.136.7:53
  - 10.0.136.7:53 -> 10.7.11.235:61023
  - 10.7.11.235:61024 -> 10.0.136.7:53
  - 142.250.70.110:443 -> 10.7.11.235:50083
  - 10.7.11.235:56745 -> 142.250.207.206:443
  - 10.7.11.235:50083 -> 142.250.70.110:443
  - 10.7.11.235:61021 -> 10.0.136.7:53
  - 10.7.11.235:61229 -> 10.0.136.7:53
  - 10.7.11.235:61020 -> 10.0.136.7:53
  - 142.251.12.100:443 -> 10.7.11.235:58448
  - 10.0.136.7:53 -> 10.7.11.235:61216
  - 10.7.11.235:58448 -> 142.251.12.100:443
  - 10.0.136.7:53 -> 10.7.11.235:61017
  - 10.7.11.235:61016 -> 172.64.155.209:443
  - 10.0.136.7:53 -> 10.7.11.235:61015
  - 10.7.11.235:61015 -> 10.0.136.7:53
  - 10.7.11.235:61092 -> 108.159.80.60:443
  - 10.7.11.235:61014 -> 10.0.136.7:53
